Exchange,Product Name,Product Symbol,Alternate Symbol,Product Type,Asset Class,Sub-Asset Class,Currency,Market Data Channel
ICE,Gasoline Futures (balmo),1GE S,10pFRTB,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Diff Futures (balmo),1FG S,RBOB1L/EUBob,Future,,,USD,IFEU Energy Div Oil
ICE,CSAPR SO2 Futures,STN P,CS SO2 G2 16,Future,,,USD,ICE Phys Env
ICE,Off-Peak Futures (1 MW),BGB S,OPIndianaAMILBG,Future,,,USD,IFUS Energy Div Pwr
ICE,Jet Fuel Diff Futures,SJR S,SG Kero/LS 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoil Futures,GOR S,.1FRTB Mini,Future,,,USD,IFEU Energy Div Oil
ICE,Fuel Oil Futures,FOV S,1FRTB Mini,Future,,,USD,IFEU Energy Div Oil
ICE,REC-NJ Futures,NCV P,REC-NJ C1 19,Future,,,USD,ICE Phys Env
ICE,Peak Futures (1 MW),ETW S,ERCOT N RT Mini,Future,,,USD,IFUS Energy Div Pwr
ICE,Gasoline Diff Futures (balmo),1FJ S,RBOB1L/EUBob,Future,,,USD,IFEU Energy Div Oil
Eurex,BASILEA,BSLN,,Option Strategy,Equities,Single stock,CHF,ALL
Eurex,MSCI PACIFIC (USD/NTR),FMPA,,Spread,Equities,Index,USD,ALL
